Created on,Last change,Name (in database),Code,Internal remark,External remark,Measuring unit,In webshop,Surface item,Short description webshop,Long description webshop,Webshop SEO title,Webshop SEO keyword,Webshop SEO description,Webshop featured product,Rental-/Sales price,Margin price,Critical stock,Type of equipment,Rental/sales,Stock calculation method,Display in planner,Archived,List price,Transport volume,Height,Width,Length,Weight,Empty weight,Power,Current,Default equipment group,The equipment can have content,Physical/Virtual,Content editable in project,Restrict actual content,Price incl. VAT,VAT rate,Has accessories,Number of images,Tags,Current quantity excl. reserved for combinations,Current quantity,Quantity reserved for combinations,Location in default stock location,Total stock per stock location [Fabriek],Location in warehouse per stock location [Fabriek],ID,Created by (Created by),Folder (Folder),Factor group (Factor group),Discount group (Discount group),VAT class (VAT class),Main image (Main image),Ledger - credit (Ledger - credit),Ledger - debit (Ledger - debit),Created on (Serial number),Last change (Serial number),Display name (Serial number),Manufacturer serial number (Serial number),Date of purchase (Serial number),Active (Serial number),Remark (Serial number),Internal reference (Serial number),Guarantee date (Serial number),Replacement date (Serial number),Current book value (Serial number),Tags (Serial number),Seal (Serial number),Actual content from (Serial number),Combination structure (Serial number),ID (Serial number),"Created by (Serial number, Created by)","Equipment (Serial number, Equipment)","Supplier (Serial number, Supplier)","Assigned to (Serial number, Assigned to)","Managed by (Serial number, Managed by)","Main image (Serial number, Main image)","On subproject (Serial number, On subproject)","Lost (Serial number, Lost)","In repair (Serial number, In repair)"
45514.686990741,46223.66587963,Tap met spoelbak,0201-013,,,,0,0,,,,,,0,75,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,0,Physical equipment,0,All content possible,90.75,0.21,0,0,,1,1,0,,1,,1256,Jente Verbruggen,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.687650463,46223.66587963,Tap tafelmodel groot,0201-014,,,,0,0,,,,,,0,75,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,0,Physical equipment,0,All content possible,90.75,0.21,0,0,,1,1,0,,1,,1257,Jente Verbruggen,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.688101852,46223.66587963,Tap tafelmodel klein,0201-015,,,,0,0,,,,,,0,75,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,0,Physical equipment,0,All content possible,90.75,0.21,0,0,,1,1,0,,1,,1258,Jente Verbruggen,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.689363426,46223.66587963,Spoelbak ,0201-016,,,,0,0,,,,,,0,20,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,0,Physical equipment,0,All content possible,24.2,0.21,0,0,,3,3,0,,3,,1259,Jente Verbruggen,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.690127315,46223.66587963,Schepijs vriezer,0201-017,,,,0,0,,,,,,0,55,0,0,Physical combination,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Catering,1,Physical equipment,0,All content possible,66.55,0.21,0,0,,1,1,0,,1,,1260,Jente Verbruggen,0201-Catering,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.694756944,46223.66587963,Plastieken plooitafel,0401-001,,,,0,0,,,,,,0,2,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Meubilair,0,Physical equipment,0,All content possible,2.42,0.21,0,0,,3,3,0,,3,,1261,Jente Verbruggen,0401-Meubilair,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.695208333,46223.66587963,Houten buffet tafel,0401-002,,,,0,0,,,,,,0,5,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Meubilair,0,Physical equipment,0,All content possible,6.05,0.21,0,0,,11,11,0,,11,,1262,Jente Verbruggen,0401-Meubilair,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.695648148,46223.66587963,Cocktailtafel,0401-003,,,,0,0,,,,,,0,5,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Meubilair,0,Physical equipment,0,All content possible,6.05,0.21,0,0,,15,15,0,,15,,1263,Jente Verbruggen,0401-Meubilair,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.696342593,46223.66587963,Houten werktafel,0401-004,,,,0,0,,,,,,0,7,0,0,Physical item,Rental,Bulk,1,0,0,0,0,62.5,250,0,0,0,0,Meubilair,0,Physical equipment,0,All content possible,8.47,0.21,0,0,,6,6,0,,6,,1264,Jente Verbruggen,0401-Meubilair,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.696921296,46223.66587963,Warmte paddestoel,0401-005,,,,0,0,,,,,,0,25,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Meubilair,0,Physical equipment,0,All content possible,30.25,0.21,0,0,,1,1,0,,1,,1265,Jente Verbruggen,0401-Meubilair,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
